"TOWN","variable","value"
"Lebanon town","X25F1519",254
"Ledyard town","X25F1519",463
"Lisbon town","X25F1519",131
"Litchfield town","X25F1519",219
"Lyme town","X25F1519",54
"Madison town","X25F1519",615
"Manchester town","X25F1519",1658
"Mansfield town","X25F1519",2970
"Marlborough town","X25F1519",264
"Meriden town","X25F1519",1936
"Middlebury town","X25F1519",327
"Middlefield town","X25F1519",130
"Middletown town","X25F1519",1482
"Milford town","X25F1519",1288
"Monroe town","X25F1519",649
"Montville town","X25F1519",586
"Morris town","X25F1519",59
"Naugatuck town","X25F1519",919
"New Britain town","X25F1519",2915
"New Canaan town","X25F1519",981
"New Fairfield town","X25F1519",428
"New Hartford town","X25F1519",227
"New Haven town","X25F1519",5242
"New London town","X25F1519",929
"New Milford town","X25F1519",813
"Newington town","X25F1519",926
"Newtown town","X25F1519",1058
"Norfolk town","X25F1519",47
"North Branford town","X25F1519",399
"North Canaan town","X25F1519",105
"North Haven town","X25F1519",744
"North Stonington town","X25F1519",143
"Norwalk town","X25F1519",2230
"Norwich town","X25F1519",1255
"Old Lyme town","X25F1519",226
"Old Saybrook town","X25F1519",238
"Orange town","X25F1519",510
"Oxford town","X25F1519",490
"Plainfield town","X25F1519",525
"Plainville town","X25F1519",499
"Plymouth town","X25F1519",345
"Pomfret town","X25F1519",158
"Portland town","X25F1519",299
"Preston town","X25F1519",139
"Prospect town","X25F1519",324
"Putnam town","X25F1519",273
"Redding town","X25F1519",349
"Ridgefield town","X25F1519",1032
"Rocky Hill town","X25F1519",532
"Roxbury town","X25F1519",60
"Salem town","X25F1519",160
"Salisbury town","X25F1519",78
"Scotland town","X25F1519",55
"Seymour town","X25F1519",491
"Sharon town","X25F1519",58
"Shelton town","X25F1519",1091
"Sherman town","X25F1519",114
"Simsbury town","X25F1519",915
"Somers town","X25F1519",339
"South Windsor town","X25F1519",838
"Southbury town","X25F1519",554
"Southington town","X25F1519",1436
"Sprague town","X25F1519",125
"Stafford town","X25F1519",373
"Stamford town","X25F1519",2947
"Sterling town","X25F1519",152
"Stonington town","X25F1519",507
"Stratford town","X25F1519",1576
"Suffield town","X25F1519",405
"Thomaston town","X25F1519",238
"Thompson town","X25F1519",281
"Tolland town","X25F1519",601
"Torrington town","X25F1519",1018
"Trumbull town","X25F1519",1307
"Union town","X25F1519",20
"Vernon town","X25F1519",670
"Voluntown town","X25F1519",73
"Wallingford town","X25F1519",1195
"Warren town","X25F1519",48
"Washington town","X25F1519",102
"Waterbury town","X25F1519",3572
"Waterford town","X25F1519",587
"Watertown town","X25F1519",604
"West Hartford town","X25F1519",2187
"West Haven town","X25F1519",1867
"Westbrook town","X25F1519",183
"Weston town","X25F1519",453
"Westport town","X25F1519",1176
"Wethersfield town","X25F1519",841
"Willington town","X25F1519",127
"Wilton town","X25F1519",860
"Winchester town","X25F1519",306
"Windham town","X25F1519",1306
"Windsor Locks town","X25F1519",378
"Windsor town","X25F1519",777
"Wolcott town","X25F1519",545
"Woodbridge town","X25F1519",291
"Woodbury town","X25F1519",266
"Woodstock town","X25F1519",287
"","X25F1519",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X25F1519",NA
"Andover town","X25F2024",103
"Ansonia town","X25F2024",606
"Ashford town","X25F2024",129
"Avon town","X25F2024",820
"Barkhamsted town","X25F2024",135
"Beacon Falls town","X25F2024",224
"Berlin town","X25F2024",562
"Bethany town","X25F2024",190
"Bethel town","X25F2024",503
"Bethlehem town","X25F2024",100
"Bloomfield town","X25F2024",434
"Bolton town","X25F2024",145
"Bozrah town","X25F2024",94
"Branford town","X25F2024",533
"Bridgeport town","X25F2024",4289
"Bridgewater town","X25F2024",32
"Bristol town","X25F2024",1475
"Brookfield town","X25F2024",547
"Brooklyn town","X25F2024",302
"Burlington town","X25F2024",405
"Canaan town","X25F2024",29
"Canterbury town","X25F2024",177
"Canton town","X25F2024",384
"Chaplin town","X25F2024",41
"Cheshire town","X25F2024",924
"Chester town","X25F2024",104
"Clinton town","X25F2024",303
"Colchester town","X25F2024",519
"Colebrook town","X25F2024",37
"Columbia town","X25F2024",158
"Cornwall town","X25F2024",39
"Coventry town","X25F2024",359
"Cromwell town","X25F2024",388
"Danbury town","X25F2024",2390
"Darien town","X25F2024",934
"Deep River town","X25F2024",104
"Derby town","X25F2024",302
"Durham town","X25F2024",287
"East Granby town","X25F2024",171
"East Haddam town","X25F2024",248
"East Hampton town","X25F2024",398
"East Hartford town","X25F2024",1482
"East Haven town","X25F2024",671
"East Lyme town","X25F2024",572
"East Windsor town","X25F2024",312
"Eastford town","X25F2024",46
"Easton town","X25F2024",277
"Ellington town","X25F2024",631
"Enfield town","X25F2024",983
"Essex town","X25F2024",180
"Fairfield town","X25F2024",2686
"Farmington town","X25F2024",755
"Franklin town","X25F2024",60
"Glastonbury town","X25F2024",1418
"Goshen town","X25F2024",110
"Granby town","X25F2024",423
"Greenwich town","X25F2024",2137
"Griswold town","X25F2024",411
"Groton town","X25F2024",475
"Guilford town","X25F2024",786
"Haddam town","X25F2024",294
"Hamden town","X25F2024",2488
"Hampton town","X25F2024",28
"Hartford town","X25F2024",4824
"Hartland town","X25F2024",69
"Harwinton town","X25F2024",194
"Hebron town","X25F2024",388
"Kent town","X25F2024",32
"Killingly town","X25F2024",499
"Killingworth town","X25F2024",228
"Lebanon town","X25F2024",241
"Ledyard town","X25F2024",425
"Lisbon town","X25F2024",126
"Litchfield town","X25F2024",228
"Lyme town","X25F2024",56
"Madison town","X25F2024",670
"Manchester town","X25F2024",1355
"Mansfield town","X25F2024",4077
"Marlborough town","X25F2024",260
"Meriden town","X25F2024",1728
"Middlebury town","X25F2024",354
"Middlefield town","X25F2024",138
"Middletown town","X25F2024",1554
"Milford town","X25F2024",1262
"Monroe town","X25F2024",670
"Montville town","X25F2024",709
"Morris town","X25F2024",82
"Naugatuck town","X25F2024",837
"New Britain town","X25F2024",2559
"New Canaan town","X25F2024",931
"New Fairfield town","X25F2024",453
"New Hartford town","X25F2024",261
"New Haven town","X25F2024",5944
"New London town","X25F2024",1326
"New Milford town","X25F2024",736
"Newington town","X25F2024",860
"Newtown town","X25F2024",1112
"Norfolk town","X25F2024",45
"North Branford town","X25F2024",450
"North Canaan town","X25F2024",104
"North Haven town","X25F2024",772
"North Stonington town","X25F2024",133
"Norwalk town","X25F2024",1871
"Norwich town","X25F2024",1293
"Old Lyme town","X25F2024",241
"Old Saybrook town","X25F2024",243
"Orange town","X25F2024",528
"Oxford town","X25F2024",552
"Plainfield town","X25F2024",502
"Plainville town","X25F2024",467
"Plymouth town","X25F2024",385
"Pomfret town","X25F2024",192
"Portland town","X25F2024",290
"Preston town","X25F2024",153
"Prospect town","X25F2024",360
"Putnam town","X25F2024",235
"Redding town","X25F2024",373
"Ridgefield town","X25F2024",990
"Rocky Hill town","X25F2024",536
"Roxbury town","X25F2024",68
"Salem town","X25F2024",127
"Salisbury town","X25F2024",82
"Scotland town","X25F2024",45
"Seymour town","X25F2024",525
"Sharon town","X25F2024",59
"Shelton town","X25F2024",1076
"Sherman town","X25F2024",98
"Simsbury town","X25F2024",877
"Somers town","X25F2024",339
"South Windsor town","X25F2024",785
"Southbury town","X25F2024",571
"Southington town","X25F2024",1604
"Sprague town","X25F2024",107
"Stafford town","X25F2024",323
"Stamford town","X25F2024",2442
"Sterling town","X25F2024",159
"Stonington town","X25F2024",514
"Stratford town","X25F2024",1499
"Suffield town","X25F2024",404
"Thomaston town","X25F2024",265
"Thompson town","X25F2024",323
"Tolland town","X25F2024",648
"Torrington town","X25F2024",936
"Trumbull town","X25F2024",1345
"Union town","X25F2024",35
"Vernon town","X25F2024",611
"Voluntown town","X25F2024",73
"Wallingford town","X25F2024",1210
"Warren town","X25F2024",37
"Washington town","X25F2024",99
"Waterbury town","X25F2024",3492
"Waterford town","X25F2024",600
"Watertown town","X25F2024",626
"West Hartford town","X25F2024",2376
"West Haven town","X25F2024",1880
"Westbrook town","X25F2024",204
"Weston town","X25F2024",484
"Westport town","X25F2024",1118
"Wethersfield town","X25F2024",838
"Willington town","X25F2024",263
"Wilton town","X25F2024",880
"Winchester town","X25F2024",286
"Windham town","X25F2024",1397
"Windsor Locks town","X25F2024",310
"Windsor town","X25F2024",808
"Wolcott town","X25F2024",612
"Woodbridge town","X25F2024",276
"Woodbury town","X25F2024",288
"Woodstock town","X25F2024",293
"","X25F2024",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X25F2024",NA
"Andover town","X25F2529",86
"Ansonia town","X25F2529",620
"Ashford town","X25F2529",114
"Avon town","X25F2529",612
"Barkhamsted town","X25F2529",96
"Beacon Falls town","X25F2529",194
"Berlin town","X25F2529",496
"Bethany town","X25F2529",141
"Bethel town","X25F2529",446
"Bethlehem town","X25F2529",72
"Bloomfield town","X25F2529",503
"Bolton town","X25F2529",140
"Bozrah town","X25F2529",84
"Branford town","X25F2529",636
"Bridgeport town","X25F2529",5243
"Bridgewater town","X25F2529",21
"Bristol town","X25F2529",1688
"Brookfield town","X25F2529",466
"Brooklyn town","X25F2529",256
"Burlington town","X25F2529",288
"Canaan town","X25F2529",22
"Canterbury town","X25F2529",153
"Canton town","X25F2529",283
"Chaplin town","X25F2529",54
"Cheshire town","X25F2529",683
"Chester town","X25F2529",108
"Clinton town","X25F2529",259
"Colchester town","X25F2529",532
"Colebrook town","X25F2529",47
"Columbia town","X25F2529",121
"Cornwall town","X25F2529",23
"Coventry town","X25F2529",330
"Cromwell town","X25F2529",372
"Danbury town","X25F2529",2917
"Darien town","X25F2529",609
"Deep River town","X25F2529",72
"Derby town","X25F2529",389
"Durham town","X25F2529",244
"East Granby town","X25F2529",111
"East Haddam town","X25F2529",234
"East Hampton town","X25F2529",339
"East Hartford town","X25F2529",1693
"East Haven town","X25F2529",839
"East Lyme town","X25F2529",559
"East Windsor town","X25F2529",345
"Eastford town","X25F2529",22
"Easton town","X25F2529",230
"Ellington town","X25F2529",574
"Enfield town","X25F2529",956
"Essex town","X25F2529",154
"Fairfield town","X25F2529",1699
"Farmington town","X25F2529",691
"Franklin town","X25F2529",52
"Glastonbury town","X25F2529",1111
"Goshen town","X25F2529",78
"Granby town","X25F2529",343
"Greenwich town","X25F2529",1561
"Griswold town","X25F2529",327
"Groton town","X25F2529",826
"Guilford town","X25F2529",501
"Haddam town","X25F2529",207
"Hamden town","X25F2529",2291
"Hampton town","X25F2529",26
"Hartford town","X25F2529",4411
"Hartland town","X25F2529",18
"Harwinton town","X25F2529",130
"Hebron town","X25F2529",330
"Kent town","X25F2529",45
"Killingly town","X25F2529",401
"Killingworth town","X25F2529",174
"Lebanon town","X25F2529",229
"Ledyard town","X25F2529",352
"Lisbon town","X25F2529",145
"Litchfield town","X25F2529",161
"Lyme town","X25F2529",59
"Madison town","X25F2529",537
"Manchester town","X25F2529",1921
"Mansfield town","X25F2529",714
"Marlborough town","X25F2529",182
"Meriden town","X25F2529",1966
"Middlebury town","X25F2529",271
"Middlefield town","X25F2529",129
"Middletown town","X25F2529",1490
"Milford town","X25F2529",1284
"Monroe town","X25F2529",555
"Montville town","X25F2529",692
"Morris town","X25F2529",62
"Naugatuck town","X25F2529",896
"New Britain town","X25F2529",2757
"New Canaan town","X25F2529",620
"New Fairfield town","X25F2529",402
"New Hartford town","X25F2529",190
"New Haven town","X25F2529",5502
"New London town","X25F2529",756
"New Milford town","X25F2529",685
"Newington town","X25F2529",896
"Newtown town","X25F2529",902
"Norfolk town","X25F2529",50
"North Branford town","X25F2529",362
"North Canaan town","X25F2529",107
"North Haven town","X25F2529",767
"North Stonington town","X25F2529",90
"Norwalk town","X25F2529",2317
"Norwich town","X25F2529",1482
"Old Lyme town","X25F2529",133
"Old Saybrook town","X25F2529",193
"Orange town","X25F2529",400
"Oxford town","X25F2529",374
"Plainfield town","X25F2529",449
"Plainville town","X25F2529",531
"Plymouth town","X25F2529",308
"Pomfret town","X25F2529",173
"Portland town","X25F2529",221
"Preston town","X25F2529",83
"Prospect town","X25F2529",313
"Putnam town","X25F2529",231
"Redding town","X25F2529",262
"Ridgefield town","X25F2529",669
"Rocky Hill town","X25F2529",599
"Roxbury town","X25F2529",50
"Salem town","X25F2529",109
"Salisbury town","X25F2529",40
"Scotland town","X25F2529",42
"Seymour town","X25F2529",443
"Sharon town","X25F2529",18
"Shelton town","X25F2529",1086
"Sherman town","X25F2529",61
"Simsbury town","X25F2529",576
"Somers town","X25F2529",287
"South Windsor town","X25F2529",691
"Southbury town","X25F2529",449
"Southington town","X25F2529",1211
"Sprague town","X25F2529",58
"Stafford town","X25F2529",323
"Stamford town","X25F2529",3259
"Sterling town","X25F2529",103
"Stonington town","X25F2529",482
"Stratford town","X25F2529",1563
"Suffield town","X25F2529",400
"Thomaston town","X25F2529",213
"Thompson town","X25F2529",273
"Tolland town","X25F2529",531
"Torrington town","X25F2529",953
"Trumbull town","X25F2529",1095
"Union town","X25F2529",22
"Vernon town","X25F2529",861
"Voluntown town","X25F2529",52
"Wallingford town","X25F2529",1255
"Warren town","X25F2529",28
"Washington town","X25F2529",50
"Waterbury town","X25F2529",4055
"Waterford town","X25F2529",449
"Watertown town","X25F2529",621
"West Hartford town","X25F2529",2105
"West Haven town","X25F2529",1722
"Westbrook town","X25F2529",167
"Weston town","X25F2529",294
"Westport town","X25F2529",783
"Wethersfield town","X25F2529",730
"Willington town","X25F2529",359
"Wilton town","X25F2529",486
"Winchester town","X25F2529",285
"Windham town","X25F2529",919
"Windsor Locks town","X25F2529",338
"Windsor town","X25F2529",771
"Wolcott town","X25F2529",558
"Woodbridge town","X25F2529",171
"Woodbury town","X25F2529",279
"Woodstock town","X25F2529",226
"","X25F2529",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X25F2529",NA
"Andover town","X25F3034",79
"Ansonia town","X25F3034",763
"Ashford town","X25F3034",108
"Avon town","X25F3034",347
"Barkhamsted town","X25F3034",85
"Beacon Falls town","X25F3034",164
"Berlin town","X25F3034",381
"Bethany town","X25F3034",85
"Bethel town","X25F3034",437
"Bethlehem town","X25F3034",74
"Bloomfield town","X25F3034",541
"Bolton town","X25F3034",61
"Bozrah town","X25F3034",70
"Branford town","X25F3034",714
"Bridgeport town","X25F3034",6683
"Bridgewater town","X25F3034",2
"Bristol town","X25F3034",1876
"Brookfield town","X25F3034",360
"Brooklyn town","X25F3034",233
"Burlington town","X25F3034",130
"Canaan town","X25F3034",20
"Canterbury town","X25F3034",129
"Canton town","X25F3034",195
"Chaplin town","X25F3034",50
"Cheshire town","X25F3034",416
"Chester town","X25F3034",72
"Clinton town","X25F3034",220
"Colchester town","X25F3034",408
"Colebrook town","X25F3034",28
"Columbia town","X25F3034",156
"Cornwall town","X25F3034",12
"Coventry town","X25F3034",270
"Cromwell town","X25F3034",403
"Danbury town","X25F3034",3888
"Darien town","X25F3034",342
"Deep River town","X25F3034",72
"Derby town","X25F3034",516
"Durham town","X25F3034",154
"East Granby town","X25F3034",84
"East Haddam town","X25F3034",197
"East Hampton town","X25F3034",17
"East Hartford town","X25F3034",1997
"East Haven town","X25F3034",897
"East Lyme town","X25F3034",510
"East Windsor town","X25F3034",408
"Eastford town","X25F3034",28
"Easton town","X25F3034",123
"Ellington town","X25F3034",460
"Enfield town","X25F3034",1156
"Essex town","X25F3034",74
"Fairfield town","X25F3034",1194
"Farmington town","X25F3034",627
"Franklin town","X25F3034",37
"Glastonbury town","X25F3034",662
"Goshen town","X25F3034",34
"Granby town","X25F3034",187
"Greenwich town","X25F3034",1099
"Griswold town","X25F3034",422
"Groton town","X25F3034",1334
"Guilford town","X25F3034",281
"Haddam town","X25F3034",148
"Hamden town","X25F3034",2518
"Hampton town","X25F3034",29
"Hartford town","X25F3034",5364
"Hartland town","X25F3034",10
"Harwinton town","X25F3034",66
"Hebron town","X25F3034",167
"Kent town","X25F3034",63
"Killingly town","X25F3034",463
"Killingworth town","X25F3034",89
"Lebanon town","X25F3034",164
"Ledyard town","X25F3034",254
"Lisbon town","X25F3034",112
"Litchfield town","X25F3034",136
"Lyme town","X25F3034",38
"Madison town","X25F3034",261
"Manchester town","X25F3034",2573
"Mansfield town","X25F3034",559
"Marlborough town","X25F3034",83
"Meriden town","X25F3034",2227
"Middlebury town","X25F3034",158
"Middlefield town","X25F3034",48
"Middletown town","X25F3034",2008
"Milford town","X25F3034",1357
"Monroe town","X25F3034",324
"Montville town","X25F3034",635
"Morris town","X25F3034",43
"Naugatuck town","X25F3034",1031
"New Britain town","X25F3034",3155
"New Canaan town","X25F3034",307
"New Fairfield town","X25F3034",256
"New Hartford town","X25F3034",162
"New Haven town","X25F3034",6278
"New London town","X25F3034",891
"New Milford town","X25F3034",586
"Newington town","X25F3034",884
"Newtown town","X25F3034",478
"Norfolk town","X25F3034",23
"North Branford town","X25F3034",247
"North Canaan town","X25F3034",72
"North Haven town","X25F3034",569
"North Stonington town","X25F3034",38
"Norwalk town","X25F3034",3062
"Norwich town","X25F3034",1673
"Old Lyme town","X25F3034",110
"Old Saybrook town","X25F3034",127
"Orange town","X25F3034",231
"Oxford town","X25F3034",239
"Plainfield town","X25F3034",466
"Plainville town","X25F3034",595
"Plymouth town","X25F3034",344
"Pomfret town","X25F3034",110
"Portland town","X25F3034",205
"Preston town","X25F3034",101
"Prospect town","X25F3034",222
"Putnam town","X25F3034",296
"Redding town","X25F3034",103
"Ridgefield town","X25F3034",343
"Rocky Hill town","X25F3034",651
"Roxbury town","X25F3034",29
"Salem town","X25F3034",59
"Salisbury town","X25F3034",8
"Scotland town","X25F3034",25
"Seymour town","X25F3034",499
"Sharon town","X25F3034",22
"Shelton town","X25F3034",850
"Sherman town","X25F3034",36
"Simsbury town","X25F3034",366
"Somers town","X25F3034",169
"South Windsor town","X25F3034",475
"Southbury town","X25F3034",313
"Southington town","X25F3034",983
"Sprague town","X25F3034",85
"Stafford town","X25F3034",258
"Stamford town","X25F3034",4642
"Sterling town","X25F3034",105
"Stonington town","X25F3034",315
"Stratford town","X25F3034",1561
"Suffield town","X25F3034",318
"Thomaston town","X25F3034",193
"Thompson town","X25F3034",207
"Tolland town","X25F3034",247
"Torrington town","X25F3034",1000
"Trumbull town","X25F3034",617
"Union town","X25F3034",24
"Vernon town","X25F3034",1202
"Voluntown town","X25F3034",32
"Wallingford town","X25F3034",1273
"Warren town","X25F3034",22
"Washington town","X25F3034",22
"Waterbury town","X25F3034",4704
"Waterford town","X25F3034",324
"Watertown town","X25F3034",491
"West Hartford town","X25F3034",1643
"West Haven town","X25F3034",2036
"Westbrook town","X25F3034",148
"Weston town","X25F3034",172
"Westport town","X25F3034",389
"Wethersfield town","X25F3034",663
"Willington town","X25F3034",199
"Wilton town","X25F3034",224
"Winchester town","X25F3034",331
"Windham town","X25F3034",973
"Windsor Locks town","X25F3034",363
"Windsor town","X25F3034",753
"Wolcott town","X25F3034",484
"Woodbridge town","X25F3034",122
"Woodbury town","X25F3034",197
"Woodstock town","X25F3034",176
"","X25F3034",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X25F3034",NA
"Andover town","X25F3539",49
"Ansonia town","X25F3539",744
"Ashford town","X25F3539",119
"Avon town","X25F3539",193
"Barkhamsted town","X25F3539",32
"Beacon Falls town","X25F3539",161
"Berlin town","X25F3539",416
"Bethany town","X25F3539",55
"Bethel town","X25F3539",432
"Bethlehem town","X25F3539",26
"Bloomfield town","X25F3539",553
"Bolton town","X25F3539",82
"Bozrah town","X25F3539",55
"Branford town","X25F3539",789
"Bridgeport town","X25F3539",7042
"Bridgewater town","X25F3539",4
"Bristol town","X25F3539",2237
"Brookfield town","X25F3539",304
"Brooklyn town","X25F3539",228
"Burlington town","X25F3539",104
"Canaan town","X25F3539",27
"Canterbury town","X25F3539",98
"Canton town","X25F3539",207
"Chaplin town","X25F3539",51
"Cheshire town","X25F3539",402
"Chester town","X25F3539",75
"Clinton town","X25F3539",263
"Colchester town","X25F3539",376
"Colebrook town","X25F3539",25
"Columbia town","X25F3539",119
"Cornwall town","X25F3539",8
"Coventry town","X25F3539",317
"Cromwell town","X25F3539",398
"Danbury town","X25F3539",4048
"Darien town","X25F3539",220
"Deep River town","X25F3539",84
"Derby town","X25F3539",547
"Durham town","X25F3539",76
"East Granby town","X25F3539",98
"East Haddam town","X25F3539",156
"East Hampton town","X25F3539",81
"East Hartford town","X25F3539",2163
"East Haven town","X25F3539",1063
"East Lyme town","X25F3539",467
"East Windsor town","X25F3539",422
"Eastford town","X25F3539",36
"Easton town","X25F3539",35
"Ellington town","X25F3539",459
"Enfield town","X25F3539",1372
"Essex town","X25F3539",78
"Fairfield town","X25F3539",1594
"Farmington town","X25F3539",681
"Franklin town","X25F3539",27
"Glastonbury town","X25F3539",578
"Goshen town","X25F3539",27
"Granby town","X25F3539",105
"Greenwich town","X25F3539",920
"Griswold town","X25F3539",394
"Groton town","X25F3539",1694
"Guilford town","X25F3539",185
"Haddam town","X25F3539",136
"Hamden town","X25F3539",3594
"Hampton town","X25F3539",37
"Hartford town","X25F3539",5479
"Hartland town","X25F3539",16
"Harwinton town","X25F3539",51
"Hebron town","X25F3539",124
"Kent town","X25F3539",26
"Killingly town","X25F3539",497
"Killingworth town","X25F3539",39
"Lebanon town","X25F3539",151
"Ledyard town","X25F3539",320
"Lisbon town","X25F3539",71
"Litchfield town","X25F3539",89
"Lyme town","X25F3539",39
"Madison town","X25F3539",50
"Manchester town","X25F3539",3098
"Mansfield town","X25F3539",564
"Marlborough town","X25F3539",92
"Meriden town","X25F3539",2376
"Middlebury town","X25F3539",133
"Middlefield town","X25F3539",51
"Middletown town","X25F3539",2537
"Milford town","X25F3539",1615
"Monroe town","X25F3539",256
"Montville town","X25F3539",595
"Morris town","X25F3539",40
"Naugatuck town","X25F3539",1184
"New Britain town","X25F3539",3665
"New Canaan town","X25F3539",97
"New Fairfield town","X25F3539",165
"New Hartford town","X25F3539",141
"New Haven town","X25F3539",6975
"New London town","X25F3539",870
"New Milford town","X25F3539",646
"Newington town","X25F3539",1004
"Newtown town","X25F3539",268
"Norfolk town","X25F3539",25
"North Branford town","X25F3539",249
"North Canaan town","X25F3539",80
"North Haven town","X25F3539",635
"North Stonington town","X25F3539",46
"Norwalk town","X25F3539",3639
"Norwich town","X25F3539",1730
"Old Lyme town","X25F3539",66
"Old Saybrook town","X25F3539",73
"Orange town","X25F3539",228
"Oxford town","X25F3539",260
"Plainfield town","X25F3539",440
"Plainville town","X25F3539",641
"Plymouth town","X25F3539",348
"Pomfret town","X25F3539",84
"Portland town","X25F3539",233
"Preston town","X25F3539",75
"Prospect town","X25F3539",197
"Putnam town","X25F3539",312
"Redding town","X25F3539",62
"Ridgefield town","X25F3539",192
"Rocky Hill town","X25F3539",714
"Roxbury town","X25F3539",17
"Salem town","X25F3539",73
"Salisbury town","X25F3539",26
"Scotland town","X25F3539",43
"Seymour town","X25F3539",474
"Sharon town","X25F3539",13
"Shelton town","X25F3539",906
"Sherman town","X25F3539",7
"Simsbury town","X25F3539",204
"Somers town","X25F3539",137
"South Windsor town","X25F3539",447
"Southbury town","X25F3539",231
"Southington town","X25F3539",959
"Sprague town","X25F3539",89
"Stafford town","X25F3539",310
"Stamford town","X25F3539",5772
"Sterling town","X25F3539",103
"Stonington town","X25F3539",300
"Stratford town","X25F3539",1644
"Suffield town","X25F3539",303
"Thomaston town","X25F3539",178
"Thompson town","X25F3539",214
"Tolland town","X25F3539",284
"Torrington town","X25F3539",1185
"Trumbull town","X25F3539",557
"Union town","X25F3539",19
"Vernon town","X25F3539",1471
"Voluntown town","X25F3539",25
"Wallingford town","X25F3539",1403
"Warren town","X25F3539",19
"Washington town","X25F3539",22
"Waterbury town","X25F3539",4734
"Waterford town","X25F3539",207
"Watertown town","X25F3539",493
"West Hartford town","X25F3539",1191
"West Haven town","X25F3539",2176
"Westbrook town","X25F3539",142
"Weston town","X25F3539",54
"Westport town","X25F3539",122
"Wethersfield town","X25F3539",736
"Willington town","X25F3539",351
"Wilton town","X25F3539",99
"Winchester town","X25F3539",313
"Windham town","X25F3539",1127
"Windsor Locks town","X25F3539",411
"Windsor town","X25F3539",800
"Wolcott town","X25F3539",413
"Woodbridge town","X25F3539",51
"Woodbury town","X25F3539",172
"Woodstock town","X25F3539",125
"","X25F3539",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X25F3539",NA
"Andover town","X25F4044",76
"Ansonia town","X25F4044",781
"Ashford town","X25F4044",108
"Avon town","X25F4044",499
"Barkhamsted town","X25F4044",75
"Beacon Falls town","X25F4044",203
"Berlin town","X25F4044",611
"Bethany town","X25F4044",136
"Bethel town","X25F4044",622
"Bethlehem town","X25F4044",76
"Bloomfield town","X25F4044",637
"Bolton town","X25F4044",109
"Bozrah town","X25F4044",85
"Branford town","X25F4044",895
"Bridgeport town","X25F4044",5746
"Bridgewater town","X25F4044",29
"Bristol town","X25F4044",2495
"Brookfield town","X25F4044",447
"Brooklyn town","X25F4044",273
"Burlington town","X25F4044",227
"Canaan town","X25F4044",35
"Canterbury town","X25F4044",144
"Canton town","X25F4044",350
"Chaplin town","X25F4044",56
"Cheshire town","X25F4044",807
"Chester town","X25F4044",88
"Clinton town","X25F4044",363
"Colchester town","X25F4044",475
"Colebrook town","X25F4044",51
"Columbia town","X25F4044",158
"Cornwall town","X25F4044",23
"Coventry town","X25F4044",418
"Cromwell town","X25F4044",582
"Danbury town","X25F4044",3665
"Darien town","X25F4044",595
"Deep River town","X25F4044",142
"Derby town","X25F4044",552
"Durham town","X25F4044",195
"East Granby town","X25F4044",195
"East Haddam town","X25F4044",263
"East Hampton town","X25F4044",164
"East Hartford town","X25F4044",2349
"East Haven town","X25F4044",1113
"East Lyme town","X25F4044",692
"East Windsor town","X25F4044",549
"Eastford town","X25F4044",59
"Easton town","X25F4044",128
"Ellington town","X25F4044",591
"Enfield town","X25F4044",1658
"Essex town","X25F4044",139
"Fairfield town","X25F4044",1803
"Farmington town","X25F4044",929
"Franklin town","X25F4044",61
"Glastonbury town","X25F4044",1072
"Goshen town","X25F4044",63
"Granby town","X25F4044",297
"Greenwich town","X25F4044",1851
"Griswold town","X25F4044",489
"Groton town","X25F4044",1512
"Guilford town","X25F4044",481
"Haddam town","X25F4044",244
"Hamden town","X25F4044",2269
"Hampton town","X25F4044",64
"Hartford town","X25F4044",4747
"Hartland town","X25F4044",43
"Harwinton town","X25F4044",131
"Hebron town","X25F4044",287
"Kent town","X25F4044",88
"Killingly town","X25F4044",649
"Killingworth town","X25F4044",113
"Lebanon town","X25F4044",247
"Ledyard town","X25F4044",510
"Lisbon town","X25F4044",97
"Litchfield town","X25F4044",186
"Lyme town","X25F4044",53
"Madison town","X25F4044",300
"Manchester town","X25F4044",3128
"Mansfield town","X25F4044",211
"Marlborough town","X25F4044",204
