"TOWN","variable","value"
"Wolcott town","X15MTOTAL",8365
"Woodbridge town","X15MTOTAL",4375
"Woodbury town","X15MTOTAL",4956
"Woodstock town","X15MTOTAL",4114
"","X15MTOTAL",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15MTOTAL",NA
"Andover town","X15M0004",53
"Ansonia town","X15M0004",574
"Ashford town","X15M0004",97
"Avon town","X15M0004",267
"Barkhamsted town","X15M0004",59
"Beacon Falls town","X15M0004",141
"Berlin town","X15M0004",381
"Bethany town","X15M0004",85
"Bethel town","X15M0004",426
"Bethlehem town","X15M0004",52
"Bloomfield town","X15M0004",441
"Bolton town","X15M0004",87
"Bozrah town","X15M0004",49
"Branford town","X15M0004",645
"Bridgeport town","X15M0004",5581
"Bridgewater town","X15M0004",13
"Bristol town","X15M0004",1734
"Brookfield town","X15M0004",303
"Brooklyn town","X15M0004",182
"Burlington town","X15M0004",145
"Canaan town","X15M0004",18
"Canterbury town","X15M0004",106
"Canton town","X15M0004",190
"Chaplin town","X15M0004",43
"Cheshire town","X15M0004",463
"Chester town","X15M0004",64
"Clinton town","X15M0004",264
"Colchester town","X15M0004",342
"Colebrook town","X15M0004",24
"Columbia town","X15M0004",104
"Cornwall town","X15M0004",11
"Coventry town","X15M0004",278
"Cromwell town","X15M0004",346
"Danbury town","X15M0004",2994
"Darien town","X15M0004",316
"Deep River town","X15M0004",92
"Derby town","X15M0004",386
"Durham town","X15M0004",122
"East Granby town","X15M0004",103
"East Haddam town","X15M0004",168
"East Hampton town","X15M0004",206
"East Hartford town","X15M0004",1578
"East Haven town","X15M0004",787
"East Lyme town","X15M0004",311
"East Windsor town","X15M0004",311
"Eastford town","X15M0004",33
"Easton town","X15M0004",85
"Ellington town","X15M0004",388
"Enfield town","X15M0004",1086
"Essex town","X15M0004",91
"Fairfield town","X15M0004",1234
"Farmington town","X15M0004",570
"Franklin town","X15M0004",34
"Glastonbury town","X15M0004",636
"Goshen town","X15M0004",37
"Granby town","X15M0004",166
"Greenwich town","X15M0004",1174
"Griswold town","X15M0004",320
"Groton town","X15M0004",1203
"Guilford town","X15M0004",322
"Haddam town","X15M0004",140
"Hamden town","X15M0004",1846
"Hampton town","X15M0004",31
"Hartford town","X15M0004",5142
"Hartland town","X15M0004",28
"Harwinton town","X15M0004",87
"Hebron town","X15M0004",157
"Kent town","X15M0004",55
"Killingly town","X15M0004",450
"Killingworth town","X15M0004",76
"Lebanon town","X15M0004",145
"Ledyard town","X15M0004",340
"Lisbon town","X15M0004",79
"Litchfield town","X15M0004",125
"Lyme town","X15M0004",33
"Madison town","X15M0004",196
"Manchester town","X15M0004",2099
"Mansfield town","X15M0004",323
"Marlborough town","X15M0004",109
"Meriden town","X15M0004",1865
"Middlebury town","X15M0004",124
"Middlefield town","X15M0004",65
"Middletown town","X15M0004",1540
"Milford town","X15M0004",1299
"Monroe town","X15M0004",340
"Montville town","X15M0004",425
"Morris town","X15M0004",39
"Naugatuck town","X15M0004",956
"New Britain town","X15M0004",2755
"New Canaan town","X15M0004",257
"New Fairfield town","X15M0004",208
"New Hartford town","X15M0004",124
"New Haven town","X15M0004",5250
"New London town","X15M0004",787
"New Milford town","X15M0004",615
"Newington town","X15M0004",793
"Newtown town","X15M0004",395
"Norfolk town","X15M0004",24
"North Branford town","X15M0004",271
"North Canaan town","X15M0004",75
"North Haven town","X15M0004",482
"North Stonington town","X15M0004",81
"Norwalk town","X15M0004",3087
"Norwich town","X15M0004",1258
"Old Lyme town","X15M0004",98
"Old Saybrook town","X15M0004",116
"Orange town","X15M0004",227
"Oxford town","X15M0004",237
"Plainfield town","X15M0004",420
"Plainville town","X15M0004",489
"Plymouth town","X15M0004",286
"Pomfret town","X15M0004",85
"Portland town","X15M0004",205
"Preston town","X15M0004",90
"Prospect town","X15M0004",172
"Putnam town","X15M0004",268
"Redding town","X15M0004",106
"Ridgefield town","X15M0004",329
"Rocky Hill town","X15M0004",545
"Roxbury town","X15M0004",27
"Salem town","X15M0004",75
"Salisbury town","X15M0004",44
"Scotland town","X15M0004",31
"Seymour town","X15M0004",416
"Sharon town","X15M0004",37
"Shelton town","X15M0004",834
"Sherman town","X15M0004",37
"Simsbury town","X15M0004",355
"Somers town","X15M0004",152
"South Windsor town","X15M0004",515
"Southbury town","X15M0004",262
"Southington town","X15M0004",921
"Sprague town","X15M0004",82
"Stafford town","X15M0004",274
"Stamford town","X15M0004",4941
"Sterling town","X15M0004",92
"Stonington town","X15M0004",334
"Stratford town","X15M0004",1309
"Suffield town","X15M0004",226
"Thomaston town","X15M0004",168
"Thompson town","X15M0004",202
"Tolland town","X15M0004",272
"Torrington town","X15M0004",911
"Trumbull town","X15M0004",623
"Union town","X15M0004",14
"Vernon town","X15M0004",959
"Voluntown town","X15M0004",43
"Wallingford town","X15M0004",1124
"Warren town","X15M0004",21
"Washington town","X15M0004",49
"Waterbury town","X15M0004",3965
"Waterford town","X15M0004",339
"Watertown town","X15M0004",480
"West Hartford town","X15M0004",1512
"West Haven town","X15M0004",1600
"Westbrook town","X15M0004",120
"Weston town","X15M0004",105
"Westport town","X15M0004",308
"Wethersfield town","X15M0004",590
"Willington town","X15M0004",160
"Wilton town","X15M0004",209
"Winchester town","X15M0004",260
"Windham town","X15M0004",740
"Windsor Locks town","X15M0004",318
"Windsor town","X15M0004",686
"Wolcott town","X15M0004",341
"Woodbridge town","X15M0004",115
"Woodbury town","X15M0004",174
"Woodstock town","X15M0004",146
"","X15M0004",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M0004",NA
"Andover town","X15M0509",86
"Ansonia town","X15M0509",603
"Ashford town","X15M0509",115
"Avon town","X15M0509",498
"Barkhamsted town","X15M0509",100
"Beacon Falls town","X15M0509",183
"Berlin town","X15M0509",479
"Bethany town","X15M0509",139
"Bethel town","X15M0509",558
"Bethlehem town","X15M0509",72
"Bloomfield town","X15M0509",404
"Bolton town","X15M0509",141
"Bozrah town","X15M0509",63
"Branford town","X15M0509",587
"Bridgeport town","X15M0509",5174
"Bridgewater town","X15M0509",29
"Bristol town","X15M0509",1711
"Brookfield town","X15M0509",434
"Brooklyn town","X15M0509",230
"Burlington town","X15M0509",297
"Canaan town","X15M0509",20
"Canterbury town","X15M0509",133
"Canton town","X15M0509",286
"Chaplin town","X15M0509",65
"Cheshire town","X15M0509",715
"Chester town","X15M0509",76
"Clinton town","X15M0509",385
"Colchester town","X15M0509",520
"Colebrook town","X15M0509",26
"Columbia town","X15M0509",122
"Cornwall town","X15M0509",24
"Coventry town","X15M0509",355
"Cromwell town","X15M0509",388
"Danbury town","X15M0509",2592
"Darien town","X15M0509",988
"Deep River town","X15M0509",120
"Derby town","X15M0509",389
"Durham town","X15M0509",209
"East Granby town","X15M0509",168
"East Haddam town","X15M0509",216
"East Hampton town","X15M0509",381
"East Hartford town","X15M0509",1664
"East Haven town","X15M0509",709
"East Lyme town","X15M0509",402
"East Windsor town","X15M0509",290
"Eastford town","X15M0509",53
"Easton town","X15M0509",222
"Ellington town","X15M0509",529
"Enfield town","X15M0509",1101
"Essex town","X15M0509",144
"Fairfield town","X15M0509",1943
"Farmington town","X15M0509",717
"Franklin town","X15M0509",50
"Glastonbury town","X15M0509",1006
"Goshen town","X15M0509",59
"Granby town","X15M0509",308
"Greenwich town","X15M0509",2170
"Griswold town","X15M0509",379
"Groton town","X15M0509",1398
"Guilford town","X15M0509",615
"Haddam town","X15M0509",275
"Hamden town","X15M0509",1588
"Hampton town","X15M0509",49
"Hartford town","X15M0509",4215
"Hartland town","X15M0509",72
"Harwinton town","X15M0509",163
"Hebron town","X15M0509",265
"Kent town","X15M0509",99
"Killingly town","X15M0509",508
"Killingworth town","X15M0509",160
"Lebanon town","X15M0509",207
"Ledyard town","X15M0509",479
"Lisbon town","X15M0509",91
"Litchfield town","X15M0509",233
"Lyme town","X15M0509",54
"Madison town","X15M0509",441
"Manchester town","X15M0509",1866
"Mansfield town","X15M0509",273
"Marlborough town","X15M0509",218
"Meriden town","X15M0509",2001
"Middlebury town","X15M0509",206
"Middlefield town","X15M0509",97
"Middletown town","X15M0509",1237
"Milford town","X15M0509",1245
"Monroe town","X15M0509",548
"Montville town","X15M0509",504
"Morris town","X15M0509",51
"Naugatuck town","X15M0509",985
"New Britain town","X15M0509",2355
"New Canaan town","X15M0509",697
"New Fairfield town","X15M0509",355
"New Hartford town","X15M0509",184
"New Haven town","X15M0509",4176
"New London town","X15M0509",652
"New Milford town","X15M0509",838
"Newington town","X15M0509",754
"Newtown town","X15M0509",782
"Norfolk town","X15M0509",39
"North Branford town","X15M0509",381
"North Canaan town","X15M0509",97
"North Haven town","X15M0509",524
"North Stonington town","X15M0509",131
"Norwalk town","X15M0509",2828
"Norwich town","X15M0509",1310
"Old Lyme town","X15M0509",172
"Old Saybrook town","X15M0509",207
"Orange town","X15M0509",344
"Oxford town","X15M0509",389
"Plainfield town","X15M0509",444
"Plainville town","X15M0509",414
"Plymouth town","X15M0509",310
"Pomfret town","X15M0509",121
"Portland town","X15M0509",245
"Preston town","X15M0509",104
"Prospect town","X15M0509",206
"Putnam town","X15M0509",293
"Redding town","X15M0509",256
"Ridgefield town","X15M0509",820
"Rocky Hill town","X15M0509",485
"Roxbury town","X15M0509",35
"Salem town","X15M0509",115
"Salisbury town","X15M0509",61
"Scotland town","X15M0509",36
"Seymour town","X15M0509",447
"Sharon town","X15M0509",57
"Shelton town","X15M0509",994
"Sherman town","X15M0509",86
"Simsbury town","X15M0509",669
"Somers town","X15M0509",242
"South Windsor town","X15M0509",682
"Southbury town","X15M0509",426
"Southington town","X15M0509",1214
"Sprague town","X15M0509",112
"Stafford town","X15M0509",331
"Stamford town","X15M0509",3839
"Sterling town","X15M0509",137
"Stonington town","X15M0509",442
"Stratford town","X15M0509",1402
"Suffield town","X15M0509",317
"Thomaston town","X15M0509",187
"Thompson town","X15M0509",263
"Tolland town","X15M0509",440
"Torrington town","X15M0509",1108
"Trumbull town","X15M0509",1110
"Union town","X15M0509",22
"Vernon town","X15M0509",801
"Voluntown town","X15M0509",79
"Wallingford town","X15M0509",1213
"Warren town","X15M0509",36
"Washington town","X15M0509",73
"Waterbury town","X15M0509",3875
"Waterford town","X15M0509",479
"Watertown town","X15M0509",615
"West Hartford town","X15M0509",1856
"West Haven town","X15M0509",1495
"Westbrook town","X15M0509",136
"Weston town","X15M0509",359
"Westport town","X15M0509",916
"Wethersfield town","X15M0509",667
"Willington town","X15M0509",125
"Wilton town","X15M0509",692
"Winchester town","X15M0509",286
"Windham town","X15M0509",743
"Windsor Locks town","X15M0509",320
"Windsor town","X15M0509",732
"Wolcott town","X15M0509",409
"Woodbridge town","X15M0509",227
"Woodbury town","X15M0509",218
"Woodstock town","X15M0509",188
"","X15M0509",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15M0509",NA
"Andover town","X15M1014",143
"Ansonia town","X15M1014",625
"Ashford town","X15M1014",136
"Avon town","X15M1014",869
"Barkhamsted town","X15M1014",174
"Beacon Falls town","X15M1014",203
"Berlin town","X15M1014",748
"Bethany town","X15M1014",239
"Bethel town","X15M1014",634
"Bethlehem town","X15M1014",111
"Bloomfield town","X15M1014",530
"Bolton town","X15M1014",152
"Bozrah town","X15M1014",91
"Branford town","X15M1014",623
"Bridgeport town","X15M1014",4367
"Bridgewater town","X15M1014",57
"Bristol town","X15M1014",1780
"Brookfield town","X15M1014",616
"Brooklyn town","X15M1014",297
"Burlington town","X15M1014",423
"Canaan town","X15M1014",35
"Canterbury town","X15M1014",196
"Canton town","X15M1014",408
"Chaplin town","X15M1014",53
"Cheshire town","X15M1014",1060
"Chester town","X15M1014",93
"Clinton town","X15M1014",425
"Colchester town","X15M1014",638
"Colebrook town","X15M1014",34
"Columbia town","X15M1014",165
"Cornwall town","X15M1014",39
"Coventry town","X15M1014",409
"Cromwell town","X15M1014",456
"Danbury town","X15M1014",2086
"Darien town","X15M1014",1341
"Deep River town","X15M1014",142
"Derby town","X15M1014",363
"Durham town","X15M1014",336
"East Granby town","X15M1014",191
"East Haddam town","X15M1014",327
"East Hampton town","X15M1014",462
"East Hartford town","X15M1014",1635
"East Haven town","X15M1014",751
"East Lyme town","X15M1014",580
"East Windsor town","X15M1014",287
"Eastford town","X15M1014",56
"Easton town","X15M1014",387
"Ellington town","X15M1014",631
"Enfield town","X15M1014",1146
"Essex town","X15M1014",230
"Fairfield town","X15M1014",2344
"Farmington town","X15M1014",896
"Franklin town","X15M1014",74
"Glastonbury town","X15M1014",1514
"Goshen town","X15M1014",97
"Granby town","X15M1014",492
"Greenwich town","X15M1014",2626
"Griswold town","X15M1014",400
"Groton town","X15M1014",854
"Guilford town","X15M1014",883
"Haddam town","X15M1014",331
"Hamden town","X15M1014",1525
"Hampton town","X15M1014",63
"Hartford town","X15M1014",3794
"Hartland town","X15M1014",74
"Harwinton town","X15M1014",198
"Hebron town","X15M1014",461
"Kent town","X15M1014",92
"Killingly town","X15M1014",534
"Killingworth town","X15M1014",258
"Lebanon town","X15M1014",286
"Ledyard town","X15M1014",542
"Lisbon town","X15M1014",150
"Litchfield town","X15M1014",292
"Lyme town","X15M1014",76
"Madison town","X15M1014",791
"Manchester town","X15M1014",1595
"Mansfield town","X15M1014",362
"Marlborough town","X15M1014",276
"Meriden town","X15M1014",1840
"Middlebury town","X15M1014",365
"Middlefield town","X15M1014",167
"Middletown town","X15M1014",1184
"Milford town","X15M1014",1472
"Monroe town","X15M1014",799
"Montville town","X15M1014",585
"Morris town","X15M1014",79
"Naugatuck town","X15M1014",1024
"New Britain town","X15M1014",2343
"New Canaan town","X15M1014",1097
"New Fairfield town","X15M1014",639
"New Hartford town","X15M1014",262
"New Haven town","X15M1014",3625
"New London town","X15M1014",635
"New Milford town","X15M1014",1044
"Newington town","X15M1014",928
"Newtown town","X15M1014",1318
"Norfolk town","X15M1014",46
"North Branford town","X15M1014",473
"North Canaan town","X15M1014",101
"North Haven town","X15M1014",764
"North Stonington town","X15M1014",191
"Norwalk town","X15M1014",2244
"Norwich town","X15M1014",1252
"Old Lyme town","X15M1014",252
"Old Saybrook town","X15M1014",292
"Orange town","X15M1014",525
"Oxford town","X15M1014",534
"Plainfield town","X15M1014",545
"Plainville town","X15M1014",468
"Plymouth town","X15M1014",356
"Pomfret town","X15M1014",171
"Portland town","X15M1014",286
