District ID,District Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
142,Tolland School District,2006-07,19,3142,0.6
143,Torrington School District,2006-07,284,4858,5.8
144,Trumbull School District,2006-07,109,6719,1.6
146,Vernon School District,2006-07,62,3783,1.6
148,Wallingford School District,2006-07,269,6914,3.9
151,Waterbury School District,2006-07,2179,17811,12.2
152,Waterford School District,2006-07,31,2967,1
153,Watertown School District,2006-07,65,3503,1.9
155,West Hartford School District,2006-07,635,10117,6.3
156,West Haven School District,2006-07,457,6735,6.8
154,Westbrook School District,2006-07,18,991,1.8
157,Weston School District,2006-07,39,2610,1.5
158,Westport School District,2006-07,91,5570,1.6
159,Wethersfield School District,2006-07,193,3832,5
160,Willington School District,2006-07,3,594,0.5
161,Wilton School District,2006-07,24,4371,0.5
162,Winchester School District,2006-07,52,1074,4.8
163,Windham School District,2006-07,702,3376,20.8
165,Windsor Locks School District,2006-07,65,1907,3.4
164,Windsor School District,2006-07,69,4145,1.7
166,Wolcott School District,2006-07,47,2919,1.6
167,Woodbridge School District,2006-07,10,793,1.3
903,Woodstock Academy,2006-07,3,1146,0.3
169,Woodstock School District,2006-07,10,963,1
2,Ansonia School District,2005-06,133,2714,4.9
244,Area Cooperative Educational Services,2005-06,31,1479,2.1
3,Ashford School District,2005-06,9,556,1.6
4,Avon School District,2005-06,11,3379,0.3
5,Barkhamsted School District,2005-06,1,340,0.3
7,Berlin School District,2005-06,107,3343,3.2
9,Bethel School District,2005-06,126,3221,3.9
11,Bloomfield School District,2005-06,2,2308,0.1
12,Bolton School District,2005-06,7,931,0.8
13,Bozrah School District,2005-06,2,277,0.7
14,Branford School District,2005-06,78,3550,2.2
15,Bridgeport School District,2005-06,3098,21675,14.3
17,Bristol School District,2005-06,196,9021,2.2
18,Brookfield School District,2005-06,2,3078,0.1
23,Canton School District,2005-06,12,1719,0.7
241,Capitol Region Education Council,2005-06,67,2296,2.9
25,Cheshire School District,2005-06,61,5151,1.2
27,Clinton School District,2005-06,42,2174,1.9
28,Colchester School District,2005-06,3,3153,0.1
30,Columbia School District,2005-06,2,647,0.3
900,Connecticut Technical High School System,2005-06,738,10325,7.1
243,Cooperative Educational Services,2005-06,1,421,0.2
33,Cromwell School District,2005-06,54,1967,2.7
34,Danbury School District,2005-06,1661,9586,17.3
35,Darien School District,2005-06,65,4475,1.5
36,Deep River School District,2005-06,7,382,1.8
37,Derby School District,2005-06,112,1485,7.5
40,East Granby School District,2005-06,7,905,0.8
41,East Haddam School District,2005-06,4,1406,0.3
42,East Hampton School District,2005-06,5,2109,0.2
43,East Hartford School District,2005-06,357,7426,4.8
44,East Haven School District,2005-06,140,3808,3.7
45,East Lyme School District,2005-06,29,3239,0.9
47,East Windsor School District,2005-06,44,1563,2.8
48,Ellington School District,2005-06,27,2494,1.1
49,Enfield School District,2005-06,81,6514,1.2
50,Essex School District,2005-06,5,552,0.9
51,Fairfield School District,2005-06,174,9141,1.9
52,Farmington School District,2005-06,50,4277,1.2
54,Glastonbury School District,2005-06,164,6723,2.4
56,Granby School District,2005-06,5,2261,0.2
57,Greenwich School District,2005-06,604,8973,6.7
58,Griswold School District,2005-06,11,2229,0.5
59,Groton School District,2005-06,83,5334,1.6
60,Guilford School District,2005-06,34,3839,0.9
62,Hamden School District,2005-06,163,6197,2.6
64,Hartford School District,2005-06,3827,22012,17.4
67,Hebron School District,2005-06,3,1244,0.2
264,Integrated Day Charter School District,2005-06,7,301,2.3
265,Interdistrict School for Arts and Comm District,2005-06,3,181,1.7
69,Killingly School District,2005-06,86,2808,3.1
245,Learn,2005-06,96,967,9.9
71,Lebanon School District,2005-06,3,1531,0.2
72,Ledyard School District,2005-06,10,2927,0.3
73,Lisbon School District,2005-06,1,588,0.2
76,Madison School District,2005-06,13,3834,0.3
77,Manchester School District,2005-06,182,7099,2.6
78,Mansfield School District,2005-06,23,1314,1.8
79,Marlborough School District,2005-06,1,640,0.2
80,Meriden School District,2005-06,680,8874,7.7
83,Middletown School District,2005-06,137,5148,2.7
84,Milford School District,2005-06,188,7569,2.5
85,Monroe School District,2005-06,35,4459,0.8
86,Montville School District,2005-06,83,2949,2.8
88,Naugatuck School District,2005-06,210,5169,4.1
89,New Britain School District,2005-06,1651,10870,15.2
90,New Canaan School District,2005-06,27,4140,0.7
91,New Fairfield School District,2005-06,8,3133,0.3
93,New Haven School District,2005-06,2094,19648,10.7
95,New London School District,2005-06,725,2962,24.5
96,New Milford School District,2005-06,102,5096,2
94,Newington School District,2005-06,145,4604,3.1
97,Newtown School District,2005-06,3,5606,0.1
99,North Branford School District,2005-06,11,2512,0.4
100,North Canaan School District,2005-06,13,394,3.3
101,North Haven School District,2005-06,65,3925,1.7
102,North Stonington School District,2005-06,1,835,0.1
103,Norwalk School District,2005-06,1322,10891,12.1
901,Norwich Free Academy,2005-06,78,2561,3
104,Norwich School District,2005-06,343,3897,8.8
106,Old Saybrook School District,2005-06,42,1560,2.7
107,Orange School District,2005-06,7,1381,0.5
108,Oxford School District,2005-06,2,1535,0.1
109,Plainfield School District,2005-06,42,2660,1.6
110,Plainville School District,2005-06,110,2606,4.2
111,Plymouth School District,2005-06,23,1897,1.2
112,Pomfret School District,2005-06,1,542,0.2
113,Portland School District,2005-06,2,1402,0.1
116,Putnam School District,2005-06,43,1259,3.4
117,Redding School District,2005-06,2,1276,0.2
204,Regional School District 04,2005-06,10,931,1.1
205,Regional School District 05,2005-06,18,2455,0.7
206,Regional School District 06,2005-06,3,1111,0.3
208,Regional School District 08,2005-06,3,1619,0.2
209,Regional School District 09,2005-06,2,987,0.2
210,Regional School District 10,2005-06,16,2795,0.6
212,Regional School District 12,2005-06,1,1105,0.1
213,Regional School District 13,2005-06,1,2169,0
214,Regional School District 14,2005-06,6,2296,0.3
215,Regional School District 15,2005-06,31,4547,0.7
216,Regional School District 16,2005-06,10,2665,0.4
218,Regional School District 18,2005-06,3,1542,0.2
219,Regional School District 19,2005-06,14,1270,1.1
118,Ridgefield School District,2005-06,31,5612,0.6
119,Rocky Hill School District,2005-06,70,2556,2.7
124,Seymour School District,2005-06,55,2687,2
126,Shelton School District,2005-06,113,5764,2
127,Sherman School District,2005-06,6,484,1.2
270,Side By Side Community School District,2005-06,19,235,8.1
128,Simsbury School District,2005-06,66,5057,1.3
129,Somers School District,2005-06,4,1743,0.2
132,South Windsor School District,2005-06,70,5084,1.4
131,Southington School District,2005-06,83,6842,1.2
133,Sprague School District,2005-06,4,344,1.2
134,Stafford School District,2005-06,13,1965,0.7
135,Stamford School District,2005-06,2119,15092,14
137,Stonington School District,2005-06,15,2548,0.6
138,Stratford School District,2005-06,243,7479,3.2
269,The Bridge Academy District,2005-06,2,186,1.1
902,The Gilbert School,2005-06,9,479,1.9
140,Thomaston School District,2005-06,5,1299,0.4
142,Tolland School District,2005-06,21,3156,0.7
143,Torrington School District,2005-06,271,4930,5.5
144,Trumbull School District,2005-06,101,6713,1.5
146,Vernon School District,2005-06,83,3936,2.1
148,Wallingford School District,2005-06,248,7010,3.5
151,Waterbury School District,2005-06,2140,17651,12.1
152,Waterford School District,2005-06,22,2988,0.7
153,Watertown School District,2005-06,65,3556,1.8
155,West Hartford School District,2005-06,649,9986,6.5
156,West Haven School District,2005-06,434,6882,6.3
154,Westbrook School District,2005-06,4,1014,0.4
157,Weston School District,2005-06,16,2569,0.6
158,Westport School District,2005-06,94,5448,1.7
159,Wethersfield School District,2005-06,189,3736,5.1
160,Willington School District,2005-06,6,594,1
161,Wilton School District,2005-06,28,4353,0.6
162,Winchester School District,2005-06,58,1089,5.3
163,Windham School District,2005-06,729,3372,21.6
165,Windsor Locks School District,2005-06,48,1954,2.5
164,Windsor School District,2005-06,102,4223,2.4
166,Wolcott School District,2005-06,41,2966,1.4
167,Woodbridge School District,2005-06,15,825,1.8
903,Woodstock Academy,2005-06,4,1141,0.4
169,Woodstock School District,2005-06,10,995,1
2,Ansonia School District,2004-05,83,2705,3.1
244,Area Cooperative Educational Services,2004-05,19,1493,1.3
4,Avon School District,2004-05,55,3310,1.7
7,Berlin School District,2004-05,104,3352,3.1
9,Bethel School District,2004-05,121,3258,3.7
11,Bloomfield School District,2004-05,1,2366,0
13,Bozrah School District,2004-05,1,283,0.4
14,Branford School District,2004-05,113,3546,3.2
15,Bridgeport School District,2004-05,2824,22222,12.7
17,Bristol School District,2004-05,184,9029,2
23,Canton School District,2004-05,12,1699,0.7
241,Capitol Region Education Council,2004-05,49,2304,2.1
25,Cheshire School District,2004-05,55,5150,1.1
27,Clinton School District,2004-05,28,2167,1.3
28,Colchester School District,2004-05,21,3108,0.7
900,Connecticut Technical High School System,2004-05,799,10836,7.4
243,Cooperative Educational Services,2004-05,1,419,0.2
33,Cromwell School District,2004-05,76,1925,3.9
34,Danbury School District,2004-05,1468,9556,15.4
35,Darien School District,2004-05,31,4367,0.7
37,Derby School District,2004-05,114,1492,7.6
40,East Granby School District,2004-05,5,888,0.6
41,East Haddam School District,2004-05,6,1420,0.4
42,East Hampton School District,2004-05,7,2116,0.3
43,East Hartford School District,2004-05,381,7406,5.1
44,East Haven School District,2004-05,121,3872,3.1
45,East Lyme School District,2004-05,37,3235,1.1
47,East Windsor School District,2004-05,44,1586,2.8
48,Ellington School District,2004-05,26,2434,1.1
49,Enfield School District,2004-05,85,6584,1.3
51,Fairfield School District,2004-05,144,8895,1.6
52,Farmington School District,2004-05,33,4369,0.8
53,Franklin School District,2004-05,1,239,0.4
54,Glastonbury School District,2004-05,151,6628,2.3
56,Granby School District,2004-05,5,2225,0.2
57,Greenwich School District,2004-05,617,9100,6.8
58,Griswold School District,2004-05,14,2167,0.6
59,Groton School District,2004-05,103,5589,1.8
60,Guilford School District,2004-05,35,3819,0.9
62,Hamden School District,2004-05,53,6304,0.8
64,Hartford School District,2004-05,3797,22296,17
67,Hebron School District,2004-05,2,1198,0.2
264,Integrated Day Charter School District,2004-05,6,300,2
69,Killingly School District,2004-05,82,2883,2.8
245,Learn,2004-05,68,486,14
71,Lebanon School District,2004-05,3,1522,0.2
72,Ledyard School District,2004-05,41,3011,1.4
76,Madison School District,2004-05,14,3773,0.4
77,Manchester School District,2004-05,206,7361,2.8
78,Mansfield School District,2004-05,37,1376,2.7
80,Meriden School District,2004-05,674,8946,7.5
83,Middletown School District,2004-05,117,5155,2.3
84,Milford School District,2004-05,153,7525,2
85,Monroe School District,2004-05,31,4349,0.7
86,Montville School District,2004-05,72,2887,2.5
88,Naugatuck School District,2004-05,211,5298,4
89,New Britain School District,2004-05,1594,10863,14.7
90,New Canaan School District,2004-05,36,4067,0.9
91,New Fairfield School District,2004-05,2,3129,0.1
93,New Haven School District,2004-05,2142,19825,10.8
95,New London School District,2004-05,689,3055,22.6
96,New Milford School District,2004-05,110,5206,2.1
94,Newington School District,2004-05,116,4624,2.5
97,Newtown School District,2004-05,4,5452,0.1
99,North Branford School District,2004-05,4,2525,0.2
100,North Canaan School District,2004-05,18,391,4.6
101,North Haven School District,2004-05,57,3807,1.5
102,North Stonington School District,2004-05,2,845,0.2
103,Norwalk School District,2004-05,1275,11039,11.5
901,Norwich Free Academy,2004-05,63,2424,2.6
104,Norwich School District,2004-05,282,3991,7.1
106,Old Saybrook School District,2004-05,58,1569,3.7
107,Orange School District,2004-05,5,1378,0.4
109,Plainfield School District,2004-05,14,2618,0.5
110,Plainville School District,2004-05,93,2604,3.6
111,Plymouth School District,2004-05,21,1936,1.1
113,Portland School District,2004-05,4,1426,0.3
114,Preston School District,2004-05,2,491,0.4
116,Putnam School District,2004-05,42,1329,3.2
117,Redding School District,2004-05,2,1298,0.2
205,Regional School District 05,2004-05,6,2492,0.2
206,Regional School District 06,2004-05,1,1068,0.1
208,Regional School District 08,2004-05,1,1582,0.1
209,Regional School District 09,2004-05,4,984,0.4
210,Regional School District 10,2004-05,2,2721,0.1
212,Regional School District 12,2004-05,3,1139,0.3
213,Regional School District 13,2004-05,3,2179,0.1
215,Regional School District 15,2004-05,38,4494,0.8
216,Regional School District 16,2004-05,10,2666,0.4
218,Regional School District 18,2004-05,2,1582,0.1
219,Regional School District 19,2004-05,19,1251,1.5
118,Ridgefield School District,2004-05,35,5560,0.6
119,Rocky Hill School District,2004-05,64,2486,2.6
124,Seymour School District,2004-05,43,2664,1.6
126,Shelton School District,2004-05,103,5717,1.8
127,Sherman School District,2004-05,4,482,0.8
270,Side By Side Community School District,2004-05,35,235,14.9
128,Simsbury School District,2004-05,65,5055,1.3
129,Somers School District,2004-05,3,1733,0.2
132,South Windsor School District,2004-05,65,5073,1.3
131,Southington School District,2004-05,66,6829,1
133,Sprague School District,2004-05,4,326,1.2
134,Stafford School District,2004-05,15,1988,0.8
135,Stamford School District,2004-05,2264,14998,15.1
137,Stonington School District,2004-05,9,2480,0.4
138,Stratford School District,2004-05,203,7568,2.7
139,Suffield School District,2004-05,5,2492,0.2
269,The Bridge Academy District,2004-05,5,175,2.9
902,The Gilbert School,2004-05,10,516,1.9
140,Thomaston School District,2004-05,4,1312,0.3
142,Tolland School District,2004-05,23,3102,0.7
143,Torrington School District,2004-05,203,4988,4.1
144,Trumbull School District,2004-05,66,6669,1
146,Vernon School District,2004-05,94,3989,2.4
148,Wallingford School District,2004-05,233,7133,3.3
151,Waterbury School District,2004-05,1958,17436,11.2
152,Waterford School District,2004-05,17,3114,0.5
153,Watertown School District,2004-05,65,3506,1.9
155,West Hartford School District,2004-05,602,9940,6.1
156,West Haven School District,2004-05,399,7037,5.7
154,Westbrook School District,2004-05,9,1025,0.9
157,Weston School District,2004-05,14,2533,0.6
158,Westport School District,2004-05,81,5280,1.5
159,Wethersfield School District,2004-05,175,3722,4.7
160,Willington School District,2004-05,3,580,0.5
161,Wilton School District,2004-05,19,4312,0.4
162,Winchester School District,2004-05,36,1083,3.3
163,Windham School District,2004-05,510,3338,15.3
165,Windsor Locks School District,2004-05,39,1936,2
164,Windsor School District,2004-05,93,4324,2.2
166,Wolcott School District,2004-05,6,2972,0.2
167,Woodbridge School District,2004-05,16,853,1.9
169,Woodstock School District,2004-05,8,994,0.8
2,Ansonia School District,2003-04,97,2652,3.7
244,Area Cooperative Educational Services,2003-04,23,1455,1.6
3,Ashford School District,2003-04,2,573,0.3
4,Avon School District,2003-04,37,3232,1.1
7,Berlin School District,2003-04,101,3337,3
9,Bethel School District,2003-04,106,3241,3.3
11,Bloomfield School District,2003-04,2,2455,0.1
14,Branford School District,2003-04,76,3627,2.1
15,Bridgeport School District,2003-04,2796,22408,12.5
17,Bristol School District,2003-04,225,8948,2.5
18,Brookfield School District,2003-04,6,3054,0.2
23,Canton School District,2003-04,8,1632,0.5
241,Capitol Region Education Council,2003-04,30,2105,1.4
25,Cheshire School District,2003-04,30,5144,0.6
27,Clinton School District,2003-04,22,2146,1
28,Colchester School District,2003-04,16,3099,0.5
900,Connecticut Technical High School System,2003-04,828,11253,7.4
33,Cromwell School District,2003-04,70,1878,3.7
34,Danbury School District,2003-04,1067,9527,11.2
35,Darien School District,2003-04,37,4263,0.9
36,Deep River School District,2003-04,3,365,0.8
37,Derby School District,2003-04,115,1547,7.4
41,East Haddam School District,2003-04,8,1416,0.6
42,East Hampton School District,2003-04,4,2085,0.2
43,East Hartford School District,2003-04,325,7336,4.4
44,East Haven School District,2003-04,94,3909,2.4
45,East Lyme School District,2003-04,23,3228,0.7
47,East Windsor School District,2003-04,42,1587,2.6
46,Easton School District,2003-04,3,1125,0.3
48,Ellington School District,2003-04,23,2371,1
49,Enfield School District,2003-04,64,6610,1
50,Essex School District,2003-04,7,556,1.3
51,Fairfield School District,2003-04,117,8682,1.3
52,Farmington School District,2003-04,45,4304,1
53,Franklin School District,2003-04,1,234,0.4
54,Glastonbury School District,2003-04,158,6536,2.4
56,Granby School District,2003-04,5,2183,0.2
57,Greenwich School District,2003-04,618,9078,6.8
