Type,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Violent,South Bend Police Dept,IN,621.7,764.7,659.1,667.4,,,,999.5,1083.5,1152.3,924.3,957.7,822.3,761.2,782.8,739.4,819.2,751,716.5,717.1,748.5,759.7,770.8,790.8,744.2,737.4,731.7,613.4, 
Violent,Cambridge Police Dept,MA,754.4,795,871,,943.2,1113.8,1053.7,913,985.6,825,792.6,644.3,564.5,633.8,580.1,513,461.5,484.4,503.5,496.4,491.6,454.6,419.1,408.4,486.1,452.6,452.7,402.9, 
Violent,Lowell Police Dept,MA,,,1316.5,,,,,,1228.7,1768.1,1582.1,1051,1071.2,1021.2,777.1,768.3,804.4,797.4,824.8,950.2,976.1,886.9,850.2,1064.1,1044.1,1128.4,741.8,539, 
Violent,Springfield Police Dept,MA,1221.8,1215.7,1594.6,1732.5,1921.5,2173.5,1881.8,2905.4,1709.6,1640.7,1538.2,2276.3,3075.5,2728.1,1934.6,1835.2,2255.8,2015.4,1896.1,1841.1,1774.9,1480.6,1368.9,1254.9,1262.9,1367.4,1026.7,1039.4, 
Violent,Worcester Police Dept,MA,947.6,1115.7,923.6,920,,,,762.2,2177.1,1030.2,1071.6,937.8,1022.1,1093.1,1050.8,872.3,819.7,763.2,881.1,789.2,792.7,851.6,872.5,970.9,1009.7,973.2,988.2,959.4, 
Violent,Ann Arbor Police Dept,MI,588.9,690.6,623.1,797.5,602.8,529.2,555,535.7,,499.6,431.3,372,358,421.2,327.6,265.7,307.1,261,258.8,231.6,313.2,308,263.7,264.9,232.6,251,229.3,197.4, 
Violent,Flint City Police Dept,MI,2913.7,3461.1,3118.9,2732.8,2389.4,2509.9,2370.6,2627.6,,2851.8,2801.3,2382,2323.4,2463.1,2340.3,1463.1,1601.9,1354.2,1215.2,1925.7,2260.2,2597.8,2362.4,2051.8,2011.5,2354.7,2336.9,2729.5, 
Violent,Grand Rapids Police Dept,MI,1208.1,1162,1200.9,1217.3,1241.2,1599.5,1719.8,1583.3,,1479.1,1287,1270,1170.1,1223.6,1134.1,1068.8,1030,1089.3,1049.8,1037,1006.8,995.9,975.2,1028.5,831.5,874.8,742.4,771.2, 
Violent,Manchester Police Dept,NH,205.5,176.3,192.7,180.4,185.5,197.9,241.8,223.5,223.1,220.7,232.1,240.3,247.1,225.7,215.8,226.2,235.7,219.2,275,334,279.5,284.3,305.8,474.9,494.2,496.5,563.3,567.1, 
Violent,Edison Twp Police Dept,NJ,226.2,231.7,164.5,137.5,249.2,164.6,174.1,172.3,145.1,162.1,251.1,318.6,281.9,295.3,235.3,268.2,297.5,223.6,283.6,213.2,230.2,293.3,227.1,235,265.7,141,141.6,120.8, 
Violent,Elizabeth Police Dept,NJ,1038.6,1335.4,1155,1251.8,1557.1,1556.3,1497.8,1337.1,1283.8,1239.5,1258.8,1104.9,1085.9,904.7,834.8,719.1,697.5,735.2,608.2,552.9,658.4,710.1,747.5,900.5,1031.1,1113.9,1048.8,797.4, 
Violent,Paterson Police Dept,NJ,1306.5,1548,1790.4,1909.2,1847.4,1873.8,1675.7,1549,1555.5,1400.7,1192,1169.2,1039.8,838.7,813.5,806.9,865.3,764.7,818.6,800.9,955,1115,999,1000.4,909.3,1070.5,1015.8,1054.7, 
Violent,Woodbridge Police Dept,NJ,233.3,179.3,165.7,191.2,191.1,255.7,316.8,388.1,411.7,461.2,390.8,311.8,381.5,409.5,374,350.8,328.5,297.3,344.6,313.1,300,258.3,236.9,195.6,141.8,167.7,127.1,121.3, 
Violent,Rochester Police Dept,NY,1219.9,1301.3,1053.4,873.8,1077.3,1236.9,1036.1,1081.1,1149.2,1154.3,1105.1,982.4,1042.2,865.6,700.9,742.6,755.3,805,935.1,826.9,927.7,1259.6,1137,1121.1,993.5,1058.6,959.3,976, 
Violent,Syracuse Police Dept,NY,615.2,673.3,718.2,851.9,877.6,854.4,947.9,916.2,831.8,755.3,919.2,873.6,895.9,918.6,944.3,1062.4,1058.4,1021.4,951.1,909.4,1095.6,1066.4,1025.9,988.3,978.8,889.3,892.9,940.2, 
Violent,Yonkers Police Dept,NY,513.2,447.2,514.4,489,456.9,671.5,698.1,617.7,722.6,723.2,620.8,601.7,560.7,529,480.6,500.3,476,451.1,444.9,476.3,491.4,496.6,443.3,457.9,477.3,456.7,503.9,570.9, 
Violent,Durham Police Dept,NC,655.1,607.2,616.4,595.5,682.5,741.5,1162.5,1270,1192.3,1186.3,1257.1,1136.8,1369.5,1129.9,1295.3,987,974.7,936.2,840,774.5,720.2,936.7,,818.4,699.4,706.9,738.2,725.9, 
Violent,Winston-Salem Police Dept,NC,1298.6,1670.1,1711.5,1409.7,1501.9,1550,1631.4,1681.7,1925.2,1789.7,1519,1410.9,1284.7,1252.4,1328.4,1295.1,934.7,840.5,827.1,782.1,841.8,837,,918,752.9,660.7,673,663, 
Violent,Akron City Police Dept,OH,826.2,1077.7,943.1,885.7,1011.3,1158.6,1256.5,1167.8,946.1,960.7,1017.7,1050.1,,,359.2,281,499.9,552.3,607.1,591.6,602.5,637.3,759,928.7,929.3,841.2,892.8,886.6, 
Violent,Dayton,OH,1267.8,1436.3,1529.5,1592.5,1613.5,1696.8,1937,1815.8,1585,1354.2,1352.3,1127.6,1175.7,1047.5,1063.7,1242.6,1247.6,1217.9,1017.3,1007.3,958.5,1087,1029.4,1088.1,1008.1,1067.6,956.7,973.7, 
Violent,Allentown City Police Dept,PA,382.7,443.2,407.6,447.9,472.8,374,369.6,390.7,672.6,768.7,735.5,618.8,653.9,661.8,655.4,645.2,579.3,574.2,602.6,613.3,807,1009.5,809.1,750,697.9,620.2,546.4,547.2, 
Violent,Erie Police Dept,PA,482.1,555.6,548.7,601.2,658.4,653.1,743.8,731.7,762.6,740.5,618.9,617,645.7,598.8,438.7,450.3,468.4,432,436.6,452.3,453.3,539.4,533.3,621.9,454.6,481.4,422.1,449.1, 
Violent,Providence Police Dept,RI,1132,1214.1,1103.3,1115,1147.6,1236.3,1274,833.5,862.6,831.7,815.7,689.6,674.8,691.7,753.5,673.9,822.8,734.9,788.3,611,680.4,554,563,680.8,692.6,683,,636.9, 
Violent,Chattanooga Police Dept,TN,909.2,1067.5,1276.8,1466.5,1666.1,2275.3,2194.6,1860.5,1954.4,1433.5,1262.3,1370.4,1675.4,1799.1,1809.3,1759.5,1796.2,1516.7,1302.7,1287.9,1131.8,1242.9,1304.2,1093.8,1036.9,934,863,996.3, 
