District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
213,Regional School District 13,2006-07,All,13,6
215,Regional School District 15,2006-07,All,135,26
216,Regional School District 16,2006-07,All,55,11
218,Regional School District 18,2006-07,All,16,2
219,Regional School District 19,2006-07,All,20,6
118,Ridgefield School District,2006-07,All,102,32
119,Rocky Hill School District,2006-07,All,269,84
121,Salem School District,2006-07,All,**,**
124,Seymour School District,2006-07,All,175,29
125,Sharon School District,2006-07,All,**,**
126,Shelton School District,2006-07,All,548,115
127,Sherman School District,2006-07,All,8,1
270,Side By Side Community School District,2006-07,All,41,15
128,Simsbury School District,2006-07,All,215,63
129,Somers School District,2006-07,All,30,7
132,South Windsor School District,2006-07,All,287,83
131,Southington School District,2006-07,All,278,107
133,Sprague School District,2006-07,All,11,8
134,Stafford School District,2006-07,All,32,12
135,Stamford School District,2006-07,All,5405,2301
137,Stonington School District,2006-07,All,24,16
138,Stratford School District,2006-07,All,580,287
139,Suffield School District,2006-07,All,51,2
902,The Gilbert School,2006-07,All,37,12
142,Tolland School District,2006-07,All,37,19
143,Torrington School District,2006-07,All,510,284
144,Trumbull School District,2006-07,All,266,109
146,Vernon School District,2006-07,All,198,62
148,Wallingford School District,2006-07,All,472,269
151,Waterbury School District,2006-07,All,2437,2179
152,Waterford School District,2006-07,All,156,31
153,Watertown School District,2006-07,All,171,65
155,West Hartford School District,2006-07,All,1749,635
156,West Haven School District,2006-07,All,1120,457
154,Westbrook School District,2006-07,All,27,18
157,Weston School District,2006-07,All,51,39
158,Westport School District,2006-07,All,171,91
159,Wethersfield School District,2006-07,All,306,193
160,Willington School District,2006-07,All,18,3
161,Wilton School District,2006-07,All,120,24
162,Winchester School District,2006-07,All,52,52
163,Windham School District,2006-07,All,977,702
165,Windsor Locks School District,2006-07,All,133,65
164,Windsor School District,2006-07,All,223,69
166,Wolcott School District,2006-07,All,102,47
167,Woodbridge School District,2006-07,All,56,10
903,Woodstock Academy,2006-07,All,18,3
169,Woodstock School District,2006-07,All,22,10
