StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,South Britain,6
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Trumbull,1
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Trumbull,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,West Haven,3
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,West Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Woodbridge,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Woodbridge,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Algeria,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Algeria,New Haven,2
